,account_key,subscription_start,total_study_hrs,lessons_completed,projects_completed,Intro to Data Science_hrs,Intro to HTML and CSS_hrs,Data Analyst Nanodegree_hrs,Data Visualization and D3.js_hrs,Data Analysis with R_hrs,JavaScript Basics_hrs,Intro to Machine Learning_hrs,A/B Testing_hrs,Data Wrangling with MongoDB_hrs,Intro to Data Science_lesson,Intro to HTML and CSS_lesson,Data Analyst Nanodegree_lesson,Data Visualization and D3.js_lesson,Data Analysis with R_lesson,JavaScript Basics_lesson,Intro to Machine Learning_lesson,A/B Testing_lesson,Data Wrangling with MongoDB_lesson,Intro to Data Science_proj,Intro to HTML and CSS_proj,Data Analyst Nanodegree_proj,Data Visualization and D3.js_proj,Data Analysis with R_proj,JavaScript Basics_proj,Intro to Machine Learning_proj,A/B Testing_proj,Data Wrangling with MongoDB_proj
671,1194,2015,5.721433272221668,0.0,0.0,1.592654597221666,0.0,1.378891358333333,0.598936638888333,0.18279183611166666,0.6460098,0.696384811111666,0.0,0.62576423055,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
672,985,2015,0.774916283333333,0.0,0.0,0.1026342555555,0.0,0.672282027777833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
673,1177,2015,6.847812736110001,0.0,0.0,6.195066755555000,0.0,0.5877747861105,0.0649711944445,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
674,149,2015,123.5733490110805,11.0,0.0,43.8961131388605,0.0,3.651244908333833,0.0,12.82240126666,0.0,0.0,0.0,63.2035896972211,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
675,1260,2015,1.444313772221666,0.0,0.0,0.793667747221666,0.0,0.650646025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
676,1119,2015,0.4793638944445,0.0,0.0,0.0,0.08054908611116667,0.398814808333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
677,1048,2015,33.671970875005165,0.0,0.0,29.086488161116666,0.280312936111166,1.509110722221666,0.0,0.0,1.255415811110666,0.0,0.0,1.54064324444,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
678,210,2015,104.5112954582906,11.0,1.0,47.2366326083121,0.0,4.376953411105666,0.0,20.196210161116664,0.0,0.0,0.0,32.7014992777561,9.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
679,1128,2015,3.726857283334500,0.0,0.0,1.327291063890000,0.0,2.399566219444500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
680,400,2015,52.445279086118155,4.0,0.0,27.547454452780993,0.0,3.124735430553833,0.0,0.0,0.0,0.0,1.195604219444999,20.5774849833383,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
