,Unnamed: 0,account_key,subscription_start,total_study_hrs,lessons_completed,projects_completed,Intro to Data Science_hrs,Intro to HTML and CSS_hrs,Data Analyst Nanodegree_hrs,Data Visualization and D3.js_hrs,Data Analysis with R_hrs,JavaScript Basics_hrs,Intro to Machine Learning_hrs,A/B Testing_hrs,Data Wrangling with MongoDB_hrs,Intro to Data Science_lesson,Intro to HTML and CSS_lesson,Data Analyst Nanodegree_lesson,Data Visualization and D3.js_lesson,Data Analysis with R_lesson,JavaScript Basics_lesson,Intro to Machine Learning_lesson,A/B Testing_lesson,Data Wrangling with MongoDB_lesson,Intro to Data Science_proj,Intro to HTML and CSS_proj,Data Analyst Nanodegree_proj,Data Visualization and D3.js_proj,Data Analysis with R_proj,JavaScript Basics_proj,Intro to Machine Learning_proj,A/B Testing_proj,Data Wrangling with MongoDB_proj
387,387,79,2014,67.8765994360873,6.0,1.0,25.8957986777733,0.0,4.148379702779667,0.2402393083333333,14.074483858323337,0.0,4.544219116671667,0.0,18.973478772206004,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
388,388,1124,2014,1.0253544,0.0,0.0,0.0,0.0,1.0253544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389,389,667,2014,2.82688986111,0.0,0.0,1.714575372221666,0.0,1.112314488888333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,390,159,2014,0.30734531944,0.0,0.0,0.0,0.0,0.30734531944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,391,771,2014,2.598151174998333,0.0,0.0,2.05085123611,0.0,0.31514088055,0.0,0.037054375,0.0,0.0,0.0,0.1951046833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,392,836,2014,1.594826425,0.0,0.0,0.0,0.0,0.606363577778333,0.0,0.988462847221666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,393,743,2014,0.1567251,0.0,0.0,0.1567251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,394,516,2014,0.0783737388888333,0.0,0.0,0.0,0.0,0.0783737388888333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,395,1180,2014,2.320899274998333,0.0,0.0,0.863464488888333,0.0,0.0488795833333333,0.890589797221666,0.0,0.0,0.0,0.0,0.51796540555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,396,668,2014,0.0368519638888333,0.0,0.0,0.0,0.0,0.0368519638888333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397,397,169,2014,0.0447705694444999,0.0,0.0,0.0,0.0,0.0447705694444999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,398,671,2014,10.76756871111,0.0,0.0,9.6069018500055,0.0,1.1606668611105,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,399,1295,2014,0.1675348638888333,0.0,0.0,0.0891183555555,0.0,0.0784165083333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,400,547,2014,5.249179388883333,0.0,0.0,5.249179388883333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,401,1246,2014,1.403670491666166,0.0,0.0,0.0430309944445,0.0,0.887957558333333,0.0,0.0535413,0.0,0.4191405888883333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,402,1095,2014,5.7339069194445,0.0,0.0,4.1669843,0.0,1.5669226194445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,403,960,2014,0.438236711111666,0.0,0.0,0.0,0.0,0.438236711111666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404,404,695,2014,1.726271341666666,0.0,0.0,0.0,0.0,1.726271341666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405,405,987,2014,1.060631083333333,0.0,0.0,0.0,0.0,0.2173302777783333,0.0,0.0,0.0,0.84330080555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,406,917,2014,0.612932138888333,0.0,0.0,0.50650735555,0.0,0.1064247833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
407,407,474,2014,74.3493772666638,11.0,1.0,15.806123475011669,2.393721783338333,3.264828908332666,7.740319897217833,9.9738949972055,3.1412206388895,15.077189688883331,0.0,16.952077877784998,9.0,2.0,0.0,8.0,9.0,3.0,12.0,0.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
408,408,634,2014,52.854911458340666,11.0,1.0,20.995900302787835,0.0,1.178571566666666,0.0,14.054398597227166,0.0,1.296803636111166,0.0,15.329237355547832,9.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
409,409,319,2014,18.55269900277,1.0,0.0,10.557274811,0.0,3.71794043888,0.1511208333333333,0.3530118555561666,0.0,2.226569877783333,0.0544213611111666,1.492359825,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
